text,created_at,location,friends_count,sentiment,gender,tweet_classification,age,emotion,sufferingChronic,group,Topic,severity,Remedies,Trying Home remedies with drugs
bigboi and sleepybrown cantsleep dungeonfamily wedf panola road,2020-07-10 13:46:38+00:00,"Stone Mountain, GA",1693,neutral,female,Individual,30-39,annoyance,no,0,3,Severe,Trying Therapies including drugs,Yes
insomnia melatonin ramabelletv have u ever experience that you are awake til morning,2020-07-10 13:42:08+00:00,Quezon City,873,neutral,female,Individual,<=18,awe,no,0,3,Severe,Trying Therapies including drugs,No
how did you sleep last night  sleep insomniaproblems insomnia sleepapnea,2020-07-10 13:38:44+00:00,"Las Vegas, Nevada",8007,neutral,male,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
up over hours cantsleep,2020-07-10 13:35:54+00:00,USA Eastern Time,15,neutral,female,Individual,<=18,negative-fear,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
what love does staring at the ceiling in worry red indicator strain stareatnothingness worry exhaustion,2020-07-10 13:27:44+00:00,Hell,200,positive,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
cantsleep constant story of my life,2020-07-10 13:27:10+00:00,"Los Angeles, CA",20,neutral,male,Individual,<=18,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
it seems like the more clear i get about who im gonna deal with and take control over how i respond the more peo,2020-07-10 13:19:34+00:00,"Seattle, WA",229,positive,female,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
"ep with askdrbone is live now 
cannabishelpsdementia dementia florida bebold care senior anxiety",2020-07-10 13:05:17+00:00,,35,positive,female,Individual,<=18,awe,yes,0,2,Severe,Not trying any remedies - Worried about next day,Yes
"summer has too much light i cannot stand it
summer heat sunlight overworking cantsleep",2020-07-10 12:57:18+00:00,,253,positive,female,Individual,19-29,awe,no,0,3,Severe,Trying Therapies including drugs,Yes
it is vital to not have a clock you can see from your bed to get a better nights sleep read why and more sleep ti,2020-07-10 12:31:03+00:00,"South East, England",473,positive,male,Individual,>=40,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
my calm app is crashing on my iphone after the latest update anyone else insomnia,2020-07-10 12:24:42+00:00,"Los Angeles, CA",794,positive,male,Individual,19-29,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
just remembered i ordered something online in the middle of the night again that i dont need insomnia,2020-07-10 12:20:46+00:00,,511,neutral,male,Individual,19-29,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
insomnia tea two cups before bed would probably work well on a normal person insomnia nosleep sleepherbs,2020-07-10 12:16:22+00:00,Sydney & Los Angeles,537,positive,female,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,Yes
relax rest sleep insomnia 水  relaxing sound of the waves of the sea meditative and calming effect to clea,2020-07-10 11:59:47+00:00,Estados Unidos,66,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
i need sleep insomnia,2020-07-10 11:43:14+00:00,Haiti,1422,neutral,male,Individual,<=18,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
more than the visuals and talent of course been following them for great storytelling and thought given to th,2020-07-10 11:30:02+00:00,,633,positive,male,Individual,<=18,awe,no,0,3,Severe,Trying Therapies including drugs,No
so apparently i dont sleep i just take on average short hr naps in any hr period and call that sleep,2020-07-10 11:21:20+00:00,,245,negative,male,Individual,30-39,awe,no,0,4,Mild,Trying Home or Drug remedies,No
there is nothing worse then to lay in bed after being up for three days physically and mentally exhausted but you,2020-07-10 10:52:41+00:00,"Newport, RI",119,negative,male,Individual,19-29,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
disrupted sleep in parkinsons may be mediated by β oscillations in basal ganglia these results identify nrem,2020-07-10 10:41:02+00:00,,697,neutral,male,Individual,>=40,negative-fear,no,0,0,Moderate,No clarity on remedies - Looking for help,No
does anyone else out there have this inability to sleep through the night and sudden urge to twitter the night away,2020-07-10 10:38:52+00:00,"Estes Park, CO",1227,neutral,male,Individual,19-29,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
research shows that if serotonin levels are too low sleep apnea may occur read more,2020-07-10 10:35:24+00:00,"Roseville, California",127,positive,female,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
im wide awake at am no sleep for me tonight insomnia wideawake cantsleep,2020-07-10 10:34:46+00:00,"Kauai, HI",1253,negative,female,Individual,<=18,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
when the mind gets constipated with racing thoughtsampoverthinking thats when a relaxative is needed lol poet,2020-07-10 10:32:52+00:00,,845,positive,female,Individual,30-39,amusement,no,0,3,Severe,Trying Therapies including drugs,No
"i feel like ive been awake all night 
insomnia",2020-07-10 10:30:59+00:00,The shire,116,neutral,male,Individual,<=18,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
just giving this little bugger a quick masterclass in dance anthems with a bit of faithless insomnia thanks,2020-07-10 10:23:06+00:00,,374,positive,female,Individual,30-39,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
ok weve successfully sleep trained the baby now who sleep trains this mama insomnia,2020-07-10 10:16:56+00:00,"Chicago, IL",1824,positive,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
insomniacs what are we all doing to get any amount of sleep these days other than ambien asking for me i need,2020-07-10 10:03:34+00:00,"San Diego, Ca",477,negative,female,Individual,<=18,awe,no,0,3,Severe,Trying Therapies including drugs,No
in all my years of living continuous healing is the hardest amp most satisfying thing i can do to show myself love,2020-07-10 09:57:31+00:00,Traveling,72,positive,male,Individual,<=18,awe,no,0,3,Severe,Trying Therapies including drugs,No
"to live and die alone 
ninjak ninja ninjaart paint artmakesthepaingoaway arttherapy face skull",2020-07-10 09:47:14+00:00,"California, USA",649,positive,male,Individual,<=18,awe,yes,0,2,Severe,Not trying any remedies - Worried about next day,No
damn you insomnia insomnia,2020-07-10 09:45:37+00:00,Canada,732,neutral,female,Individual,19-29,sadness,no,0,0,Moderate,No clarity on remedies - Looking for help,No
am i the only one in the us awake for this styriangp insomnia,2020-07-10 09:38:46+00:00,Chicago,40,neutral,male,Individual,<=18,awe,no,0,4,Mild,Trying Home or Drug remedies,No
someone fix my sleep schedule please this is awful cantsleep,2020-07-10 09:32:04+00:00,"Pismo Beach, CA",58,negative,male,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
blusanders i def suffer this as well i cant fall sleep and stay asleep no matter what meds i take i have always,2020-07-10 09:17:12+00:00,"Louisiana, USA",244,neutral,male,Individual,30-39,awe,no,0,4,Mild,Trying Home or Drug remedies,No
its going to take a gallon of coffee to get through this day insomnia,2020-07-10 08:57:20+00:00,Between here and there,514,neutral,female,Individual,19-29,awe,no,0,3,Severe,Trying Therapies including drugs,No
"during the cool ocean waves enema i nailed a huge rodeo
it was soo good insomnia enema enemas health wellness",2020-07-10 08:55:05+00:00,The Oasis,1105,positive,male,Individual,19-29,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
before the cool ocean wave enema i took a huge double roast beef shit insomnia shit dookie enema enemas health wellness,2020-07-10 08:54:17+00:00,The Oasis,1105,positive,male,Individual,19-29,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
whats a good anime to watch when you cant sleep insomnia anime summer,2020-07-10 08:51:13+00:00,United States,65,positive,male,Individual,>=40,indifference,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
work in hours and im awake why do i do this to myself insomnia tomorrowwillsuck workworkwork letmesleep,2020-07-10 08:50:19+00:00,California,395,neutral,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
need to fall asleep anxiety stress bored i gotchu rain sounds alt leveling live bby,2020-07-10 08:47:01+00:00,,28,negative,male,Individual,19-29,amusement,yes,0,0,Moderate,No clarity on remedies - Looking for help,No
people who get in bed close their eyes and immediately fall asleep are the kind people i strive to be bedtime,2020-06-23 22:18:26+00:00,"Madrid, Spain",96,positive,male,Individual,19-29,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
insomnia is my favourite faithless song because the power,2020-06-23 21:02:26+00:00,Madrid,809,neutral,male,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
insomnia is my favourite faithless song becauseit makes me feel young and alive with not a care in the world,2020-06-23 19:36:56+00:00,"Narbonne, France",31,positive,female,Individual,19-29,awe,no,0,4,Mild,Trying Home or Drug remedies,No
"wich dreamcatcher member energy do you i give off 
드림캐쳐 지유 수아 시연 한동 유현 더미 가현 dreamcatcher jiu sua",2020-06-23 10:08:53+00:00,"Porto, Portugal",279,neutral,female,Individual,19-29,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
loving all the musicians and djs who keep live streaming music makes for some relaxing vibes as each evening comes,2020-06-25 05:11:38+00:00,Orlando,556,positive,female,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
pm im actually going to go to bed early tonight am well i tried time for my late night bowl of cereal,2020-06-25 05:04:10+00:00,,331,negative,female,Individual,19-29,awe,no,0,3,Severe,Trying Therapies including drugs,No
insomnia harvardmed yoga effective intervention for insomnia study sgsts wsjhealth,2020-06-25 05:01:58+00:00,SaMo Amazon  @anandaprods,2319,positive,male,Individual,19-29,awe,no,0,4,Mild,Trying Home or Drug remedies,Yes
"so insomnia amthoughts
i can indeed clap to that old happy song
i feel incomplete unable to hold anything i",2020-06-25 05:01:10+00:00,Monfalcone,4465,positive,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
another restless night insomnia,2020-06-25 04:56:54+00:00,United States,318,neutral,male,Individual,19-29,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
my brain wot m adhd insomnia,2020-06-25 04:53:36+00:00,,10,neutral,male,Individual,>=40,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
lisa sanfilippo min simple sleep sequence via youtube yogaforinsomnia yoga yogatherapy insomnia,2020-06-25 04:52:00+00:00,Mother Earth,8393,neutral,female,Individual,19-29,awe,no,0,4,Mild,Trying Home or Drug remedies,No
cant sleep for insomnia,2020-06-25 04:28:36+00:00,"Harlingen, TX",120,neutral,female,Individual,19-29,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
going to try and attempt sleep will get up and write if i cant rest writerscafe insomnia,2020-06-25 04:18:27+00:00,"Nova Scotia, Canada",5439,neutral,male,Individual,>=40,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
my guyalex greysabc im up to season greysanatomy netflixandchill insomnia,2020-06-25 04:18:20+00:00,"Kissimmee, FL",1139,neutral,male,Individual,>=40,amusement,no,0,3,Severe,Trying Therapies including drugs,No
insomnia is a bugger this evening my tinnitus feels like its worst tonight for some reason got a fan going so w,2020-06-25 04:11:02+00:00,"Harriman, Utah",95,negative,male,Individual,>=40,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
first night in a week where i just cant sleep overthinking strikes again insomnia,2020-06-25 04:01:26+00:00,,238,positive,male,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
insomnia is my favourite faithless song because,2020-06-25 03:59:34+00:00,Cayman Islands,68,neutral,male,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
hello am how have you been ive not missed you i have to be honest who knew the birds did so much singing pra,2020-06-25 03:50:40+00:00,"London, England",733,positive,female,Individual,<=18,awe,no,0,3,Severe,Trying Therapies including drugs,No
"anyone else suffers extreme crampspains when on their period or suddenly develop insomina
i havent suffered wit",2020-06-25 03:50:30+00:00,"Liverpool, England",1345,negative,female,Individual,>=40,awe,yes,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
beenforeversince i had a decent nights sleep insomnia,2020-06-25 03:49:07+00:00,"Brighton, England",478,positive,male,Individual,>=40,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
beautiful relaxation video with sun rise and set calm sleep music beautiful musicvideo sweetnights,2020-06-25 03:36:07+00:00,,0,positive,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
meditating amp healing music temple bell sound calming amp peaceful in via youtube,2020-06-25 03:27:54+00:00,Thailand,7,positive,male,Individual,30-39,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
"maybe tonight will be the night i go to bed before midnight who am i kidding
insomnia fomoinsomnia cantsleep",2020-06-25 03:26:08+00:00,probably your dad's house,32,neutral,female,Individual,19-29,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
should i even bother trying to sleep or should i just start my day insomnia,2020-06-25 03:18:24+00:00,Rent free in a racist’s head🙃,549,neutral,female,Individual,<=18,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
sleep is for the weakapparently insomnia,2020-06-25 03:13:51+00:00,Ireland,1006,neutral,male,Individual,>=40,sadness,no,0,0,Moderate,No clarity on remedies - Looking for help,No
why am i still scrolling through tiktok at am insomnia heatwaveuk toohottosleep,2020-06-25 03:04:42+00:00,,0,neutral,male,Individual,19-29,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
nobody cares i know but its am and id love to sleep since a bad cold a few years ago ive got bad sinuses o,2020-06-25 03:03:44+00:00,Under the cat,327,negative,female,Individual,<=18,awe,no,0,4,Mild,Trying Home or Drug remedies,No
insomnia sweating even the are having a hard time now doubt they need shearing or can shearers socially dist,2020-06-25 02:57:48+00:00,An Orchard Somewhere,1054,negative,male,Individual,>=40,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
"is it am yes
am i wide awake yes
do i have shit to do tomorrow yes
will i be asleep any time soon no
insomnia",2020-06-25 02:53:32+00:00,"Glasgow, Scotland",190,negative,female,Individual,>=40,awe,no,0,3,Severe,Trying Therapies including drugs,No
waves paw at fellow insomnia folk it seems we are joined by a lot who are sweating tonight its am,2020-06-25 02:45:12+00:00,An Orchard Somewhere,1054,neutral,male,Individual,>=40,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
sharonberninger hey im kinda ok havent slept since monday insomnia how are you xoxo,2020-06-25 02:25:15+00:00,Europe ,3154,positive,male,Individual,30-39,amusement,no,0,3,Severe,Trying Therapies including drugs,No
its am here so ill say good morning good evening and good night to one amp all insomnia,2020-06-25 02:18:59+00:00,🇬🇧 Greater London,578,positive,female,Individual,30-39,amusement,no,0,3,Severe,Trying Therapies including drugs,No
jupiter and saturn apparently insomnia,2020-06-25 02:03:54+00:00,Manchester,2449,positive,male,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
sweet and peaceful sleep tonight knowing that when you lie down you shall not be afraid and your sleep shall be sw,2020-06-25 02:00:23+00:00,USA,1205,negative,male,Individual,>=40,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
online treatment for insomnia mindfulness therapy for insomnia via skype contact me to schedule a session watch,2020-06-25 02:00:20+00:00,"Boulder CO, USA",28758,neutral,male,Individual,>=40,awe,no,0,3,Severe,Trying Therapies including drugs,No
hey all heres a post you might have missed read aboutinsomnia and mental health insomnia mentalhealth,2020-06-25 01:56:39+00:00,United States,4961,negative,male,Individual,>=40,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
kaos_vs_control realtreehugs if i ever go to sleep tonight i expect to have nightmares thank goodness for,2020-06-25 01:51:48+00:00,"United Kingdom, Europe",1808,neutral,male,Individual,>=40,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
"ctfo we have something for the whole family
safe and all natural ctfo ctfocbdproducts ctfocbd ctfooil",2020-06-25 01:47:46+00:00,,1813,positive,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
robertmiggins right now im with that bitch insomnia and this is the temp,2020-06-25 01:39:15+00:00,None Of Your Business,629,positive,male,Individual,<=18,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
too depressed to sleep honestly even tho im too tired gaza insomnia,2020-06-25 01:33:40+00:00,Palestine,5827,positive,male,Individual,19-29,amusement,yes,0,0,Moderate,No clarity on remedies - Looking for help,No
finding it hard to sleep as its too hot try this summerheat toohot cantsleep,2020-06-25 01:20:53+00:00,"Cirencester, England",4079,negative,male,Individual,>=40,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
online mindfulness therapy for overcoming insomnia and sleep anxiety visit,2020-06-25 01:15:03+00:00,"Boulder CO, USA",28758,neutral,male,Individual,>=40,awe,yes,0,3,Severe,Trying Therapies including drugs,No
insomnia sucks i cant fucking sleep,2020-06-25 01:09:04+00:00,Moved to Mars until 45 is gone,574,negative,male,Individual,19-29,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
alexa please turn off my brain and let me go to sleep insomnia,2020-06-25 01:08:29+00:00,United Kingdom,230,neutral,male,Individual,19-29,indifference,no,0,0,Moderate,No clarity on remedies - Looking for help,No
online mindfulness therapist via skype for help overcoming insomnia i recommend online mindfulness therapy via sky,2020-06-25 00:55:00+00:00,"Boulder CO, USA",28758,neutral,male,Individual,>=40,awe,no,0,3,Severe,Trying Therapies including drugs,Yes
how to meet god in the night hours insomnia christianmeditation prayer read more here v,2020-06-25 00:45:02+00:00,"Missouri, USA",6570,positive,female,Individual,>=40,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
relax before going to bed with an adult bedtime story by ml bailey consultants live pm et tonight on facebook,2020-06-25 00:22:56+00:00,"Brunswick, GA",647,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,Yes
anyone else finding it difficult to drop off insomnia icantgetnosleep,2020-06-25 00:07:52+00:00,Caerphilly/London.,278,negative,male,Individual,30-39,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
awake insomnia,2020-06-24 23:38:50+00:00,"51.312094,0.876131",581,neutral,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
what if there is an upcoming horrible resource shortage and world leaders conspired to kill some people to prevent,2020-06-24 23:37:15+00:00,भारत,466,negative,male,Individual,19-29,anger,yes,0,4,Mild,Trying Home or Drug remedies,No
is it normal to be wide awake at am insomnia,2020-06-24 23:36:53+00:00,Pandæmonium,5,positive,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
"first night in days that my noisy neighbours are quiet
like really quiet i swear i didnt kill them well",2020-06-24 23:34:47+00:00,UK,4965,positive,male,Individual,>=40,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
anyone anyone because you cant just have one autoimmune disease lupus autoimmune chronicillness,2020-06-24 23:33:25+00:00,"Phoenix, AZ",995,neutral,female,Individual,<=18,indifference,yes,0,2,Severe,Not trying any remedies - Worried about next day,No
guilty sometimes this body has its own agenda lupus autoimmune chronicillness invisibleillness,2020-06-24 23:31:26+00:00,"Phoenix, AZ",995,positive,female,Individual,<=18,sadness,yes,0,2,Severe,Not trying any remedies - Worried about next day,No
"sing to tune of flower of scotland oh sleeping tablet
insomnia
awake again
that tossed and turnd for
a w",2020-06-24 23:05:05+00:00,"Edinburgh, Scotland",512,neutral,male,Individual,19-29,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
insomnia forever,2020-06-24 22:41:06+00:00,,20,neutral,male,Individual,<=18,sadness,no,0,0,Moderate,No clarity on remedies - Looking for help,No
how ready are you now to get out of your own way eliminate resistance and selfsabotage maxkirsten sleepcoach insomnia hypnosis,2020-06-24 21:55:04+00:00,London and Global,466,positive,female,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
so after taking valerian drops and h of sleep meditation i have instead of dropping into a relaxing sleep start,2020-06-24 21:53:04+00:00,"London, England",280,neutral,male,Individual,>=40,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
mediocre is written all over this game i expected better than beatem up game and the way the game look is just b,2020-06-24 21:41:43+00:00,#COYS,454,negative,male,Individual,19-29,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
wake yo ass up and talk to me insomnia,2020-06-24 21:08:26+00:00,"Broncos Country, CO",2635,neutral,female,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,Yes
what are some cures for insomnia that do not include drinking less caffeine or turning off your phone and computer,2020-06-24 21:07:20+00:00,"रत्नागिरी, भारत",40,negative,male,Individual,>=40,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,Yes
my body likes to stay up an hour later and get up an hour later each day until time is all wibblywobbly timey wim,2020-06-24 21:02:01+00:00,"Winnipeg, MB",690,neutral,female,Individual,19-29,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,Yes
"designbartsch cant get no sleep dariamusk insomnia 
follow instagram",2020-06-24 20:55:00+00:00,,1274,neutral,female,Individual,19-29,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
so basically since senior year of high school i would get hours of sleep and in college would regularly pull al,2020-06-24 22:45:09+00:00,CT :(,383,positive,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
lying awake scrolling through twitter at am check insomnia anxiety,2020-06-25 04:27:56+00:00,"Florida, USA",683,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
